Method,Split,n,ExecRate,DenAcc,JoinHall,AvgLat
B1 Zero-shot,dev,74,0.8648648648648649,0.4189189189189189,0.013513513513513514,2.1292027027027025
B1 Zero-shot,test,46,0.9347826086956522,0.41304347826086957,0.0,2.234021739130435
B2 Few-shot,dev,72,1.0,0.125,0.0,43.87475
B2 Few-shot,test,45,1.0,0.2,0.0,40.09744444444444
B3 DIN-SQL,dev,74,0.6621621621621622,0.40540540540540543,0.0,9.967432432432433
B3 DIN-SQL,test,46,0.7391304347826086,0.45652173913043476,0.0,10.317717391304347
Method M,dev,74,0.8648648648648649,0.6486486486486487,0.0,3.3209729729729727
Method M,test,46,0.782608695652174,0.5,0.0,3.277717391304348
