Method,Split,n,ExecRate,DenAcc,Latency
B1 Zero-shot,dev,74,"86.5% [78.4%, 93.2%]","41.9% [31.1%, 54.1%]",2.1s
B1 Zero-shot,test,46,"93.5% [84.8%, 100.0%]","41.3% [28.3%, 56.5%]",2.2s
B2 Few-shot,dev,72,"100.0% [100.0%, 100.0%]","12.5% [5.6%, 20.8%]",43.9s
B2 Few-shot,test,45,"100.0% [100.0%, 100.0%]","20.0% [8.9%, 33.3%]",40.1s
B3 DIN-SQL,dev,74,"66.2% [55.4%, 77.0%]","40.5% [29.7%, 51.4%]",10.0s
B3 DIN-SQL,test,46,"73.9% [60.9%, 87.0%]","45.7% [32.6%, 60.9%]",10.3s
Constrained pipeline,dev,74,"86.5% [78.4%, 93.2%]","64.9% [54.1%, 75.7%]",3.3s
Constrained pipeline,test,46,"78.3% [65.2%, 89.1%]","50.0% [34.8%, 65.2%]",3.3s
